,mz,rt,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB2.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB1.mzML
1,371.1617,18.8,307813058.3988995,150992865.6312806,308552198.0247732,353845841.6537871,261049206.87795508
2,442.2233,17.84,730946965.600942,772010575.6527908,813809674.7604192,819688881.7165556,567611648.0323414
3,292.1118,3.1,71272311.35038304,77053973.7102603,74891542.11403792,53928050.72550639,63665586.08914622
4,502.2395,22.82,99168333.39853866,47447289.88610722,138630564.0363198,133991282.74333343,103556517.4962922
5,342.1706,3.23,0.0,0.0,2214.904217160569,0.0,30839.61105636998
6,455.1791,17.06,1003628.0644123645,1016775.5241124737,772618.3095176694,891712.394339041,514530.92076022335
7,408.1344,28.84,1557616.9701961009,1632411.279387253,1538241.9918878928,1567147.8116015762,2055740.530727387
8,359.2447,0.73,26754150.87575568,26198658.334342342,24868907.715932034,27068328.19348888,28617278.460443575
9,527.3126,27.0,12961053.33795252,12873167.824174866,13328395.599258514,13983271.02135428,13952090.915136894
10,571.3155,5.62,29081481.646132518,27334401.719819993,27503373.68296515,25671603.184876572,23575542.11402965
11,360.9916,28.73,226229.7361079968,360404.257643921,282964.5942676618,261154.23518030456,257663.73228665735
12,312.1234,23.55,404610716.2464553,415795089.14532685,353519770.1713115,273121307.7201362,242416166.36270025
13,205.0975,3.47,335546.6344226854,0.0,469211.0874486221,521149.8470965229,256042.46531820873
14,338.0867,3.2,29013748.301179674,31150912.798820138,35003609.752028205,29028333.5345146,29810722.792007934
15,444.0999,19.56,67031751.59182349,70747578.29832293,69472656.48526435,79379340.64996876,78546592.53740942
16,397.1778,4.56,24479213.188547686,1343553.5311972457,79882798.97016037,97130903.52513179,104166031.47372857
17,454.2245,3.27,4723001.250364269,5507754.840723399,4644734.501443925,5075179.160205059,5545979.852680131
18,442.2246,3.31,19805421.542397425,20194515.654599067,24332373.058597844,18869502.81243591,19862282.082980707
19,510.2657,3.66,15089920.376406291,11598934.364074266,16207718.583433187,13180740.763165975,11900946.568081772
20,310.1077,23.68,284750714.6419382,280001600.35401165,295433332.0298118,306725648.5527066,311363499.4103949
21,200.1107,3.38,107194363.88203031,114012879.73061958,108523722.69110528,108425443.16773197,100052897.7300871
22,309.1601,4.31,215381345.29429126,149025555.09081233,220499109.2433462,218104452.7375176,225115494.80898237
23,478.0977,22.69,2706354.2116652075,882182.7364417017,14189669.88373103,58556083.20316305,63742973.28446463
24,329.1535,0.53,593226708.4111654,660528810.7289613,644813832.3746796,613148286.9132485,661595786.7032717
25,374.2121,19.34,315893360.76265,194258969.5774283,328447061.438277,323683913.05127645,227295632.24200344
26,408.1383,27.0,188616662.60275835,187456866.9863959,188422352.4107895,185059601.16263878,181524738.47524455
27,313.1736,12.18,1187105579.6945832,795184726.137131,1323704772.4117625,1458856876.0022764,1080552611.7347822
28,453.2091,15.48,6109861.4293434555,6005847.242751846,5748484.031883705,6087152.6581784785,5568503.551725785
29,495.2201,25.98,4237085.152552928,4432356.34046433,4061006.3893929906,3942202.334147962,4189969.856418917
30,376.1461,12.58,579972978.3927696,528148477.5546049,575651193.0043255,595235502.0340719,552988062.7821634
31,531.1575,12.35,173785354.40314502,183909090.88962787,166060286.5814797,160894718.4835085,150954197.18290764
32,407.2218,3.22,0.0,0.0,87275.74427609822,0.0,0.0
33,345.2429,24.7,2856534.874677082,2853736.2073711,2642122.9709242037,2613523.984493047,2699863.9908543252
34,268.1912,4.17,313080654.9475806,286738810.85906506,306746781.1448596,306077110.81192577,311830603.3707103
35,416.9913,24.88,46540304.73739044,16662072.516351813,97569832.75891896,226522395.90940252,290958026.47026056
36,264.1751,12.26,100777854.53078124,33824953.747251876,216635213.27841526,292485877.52621907,279943353.6785814
37,320.141,3.38,801768045.1048516,850318217.8034028,681021357.7025349,711139862.9996687,670826809.8112905
38,414.1554,5.02,275931571.5709364,272938875.3691928,283641186.10146224,298021482.3842463,300938879.44553345
39,270.1856,10.04,752865730.1094725,530080696.17470837,870424685.1304556,814165636.0505086,664601169.9202975
40,261.1965,6.81,5373608392.127404,5286577974.795365,4949636873.0250635,4498983144.760217,5064191070.885683
41,340.1549,4.82,115358961.05659145,118871126.93966277,105183103.47394863,92502331.19426262,68490286.8457101
