,mz,rt,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA1.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA2.mzML
1,371.1617,18.8,1096223986.9211605,960410795.0278548,788968944.4919348,939259450.281281,963894922.4642389
2,442.2233,17.84,48583.56481592826,62552.944401109286,50854.535240794125,31533.038667569097,24976.268283502024
3,292.1118,3.1,80417612.71841188,78828773.1468551,83562602.64642425,77178201.16556375,87842875.10458827
4,502.2395,22.82,302946026.03520143,288798822.9519847,263264888.63074192,289570172.7420182,300210322.9568973
5,342.1706,3.23,0.0,0.0,0.0,144024.15561705412,0.0
6,455.1791,17.06,1713136.8872205184,1862543.2369007233,1502835.0903629041,1868016.4342046992,1820294.235968213
7,408.1344,28.84,4216936.364575316,4026046.2729740622,3911021.285880087,4161276.503184294,4240767.77920904
8,359.2447,0.73,50840583.942339964,48899580.440731406,41729939.793900564,50990864.28053791,49063324.27406818
9,527.3126,27.0,20861763.453505587,19581245.389518034,20501736.630932674,19902718.595827576,26331039.81434723
10,571.3155,5.62,994472.4774140981,737236.0796595067,465292.77397661214,909488.687961349,687814.0928067099
11,360.9916,28.73,901548.0026757035,766174.0633899589,554583.5408518823,499110.12899725186,856108.4043551896
12,312.1234,23.55,708534615.5225725,825770488.7932289,955864320.1811211,816123674.2392604,903368038.4291471
13,205.0975,3.47,0.0,9525.173422871012,0.0,0.0,5568.220386198722
14,338.0867,3.2,48565520.71163809,52699371.47390745,51173993.00706762,51946303.801103406,58098079.969230846
15,444.0999,19.56,147641632.26370335,128372840.4127765,121317731.98570794,124504538.69811046,114889873.73227297
16,397.1778,4.56,100034120.4155744,163257083.43822867,153873804.28517753,181212748.45552084,237612556.45679525
17,454.2245,3.27,7938000.416173923,4913323.739728017,8183608.450627752,7847419.369951848,7604749.464674434
18,442.2246,3.31,31680192.145196512,28696179.00856291,34789325.72819503,33340698.63447495,36337507.43971617
19,510.2657,3.66,12640631.748546805,10128942.37829369,9726225.768963547,7480086.9535185415,11647535.551420987
20,310.1077,23.68,534559146.9492026,568360133.9249132,543944147.0502102,504703496.11171335,546540950.3520354
21,200.1107,3.38,141804329.589521,124699080.08837813,155630927.0893336,147614772.57294977,166179083.1366079
22,309.1601,4.31,939369302.1673831,927438009.7237909,999816127.777329,1011317058.7141759,1183148566.2077894
23,478.0977,22.69,133511323.05014385,147901492.2239582,135369252.90265688,147982493.2768236,151984344.89371872
24,329.1535,0.53,1222247655.3031464,1157447027.3307555,1159671073.6312945,1252613361.0654888,1259194220.808629
25,374.2121,19.34,494766638.55830735,470671386.1712442,353019862.7700848,472166414.18446475,463462009.87010956
26,408.1383,27.0,311770043.21689487,282662457.8786983,263484188.13968688,271137916.71209216,273135977.4946531
27,313.1736,12.18,9507.064663155208,0.0,0.0,6148.425936165811,0.0
28,453.2091,15.48,212390877.78513885,208731270.02539328,209957459.38170552,248579523.11251214,206025733.68802825
29,495.2201,25.98,14871513.462124985,16922424.133301776,15418818.88344392,15443001.048968391,14593965.985379107
30,376.1461,12.58,1942.028302780389,0.0,0.0,13315.214683210264,0.0
31,531.1575,12.35,231349238.3968101,277417350.75509626,304614913.0054103,317642711.6324505,282053485.8871729
32,407.2218,3.22,372220.6278088744,344265.1860950615,234279.76977025945,269526.1512421551,413122.0992280297
33,345.2429,24.7,9671186.871534513,9566789.800704472,10127650.296292966,9424619.799732856,9900802.068843536
34,268.1912,4.17,264195432.18436003,275387998.5986018,298555382.4156819,285545744.9675829,324604015.66259265
35,416.9913,24.88,91736366.66027308,99360991.07933128,70344553.3374482,95522625.67585745,98029577.77326547
36,264.1751,12.26,1525014900.3864741,1587532203.3794546,1128821409.9010048,1820393611.2759259,1549239162.2273653
37,320.141,3.38,881437.0371545958,825295.4806260406,916111.7312111096,827801.7870075302,970179.9562973605
38,414.1554,5.02,288904332.7627535,289490319.2105451,295626987.0764561,308802433.3180187,323084606.68517214
39,270.1856,10.04,1426378357.104342,1235594659.1165004,915510952.5068272,1483796920.413522,1182642093.658102
40,261.1965,6.81,391952349.3816999,372606004.3957605,300594047.3850765,369738052.7117325,355538350.4499877
41,340.1549,4.82,4040458032.3888664,3955319919.7766767,3824523094.254769,4061535732.416823,4445385375.028183
42,214.1091,5.47,680103436.7647141,680290053.2951171,680118456.4078918,669512753.700464,783182933.9493164
43,288.2324,9.72,627936515.1399932,532885660.91637135,341473292.286675,640077813.6799911,525393658.2901882
44,315.2323,28.21,143198522.50871834,118808757.59597605,121590560.90902038,116982991.23540595,141675745.30925387
45,286.1917,4.19,168430178.09203565,176463162.0209768,197654763.6098441,166809739.7778512,208221708.14986157
46,277.0646,6.46,30742918.117671005,30253419.015575524,35992717.250166126,31711958.312278196,32271609.497175947
47,399.0764,11.55,62314828.62845345,51442526.85874873,26698050.00952336,57465185.969298564,44837273.92931745
48,317.1647,3.81,593048447.4937346,492575951.7426733,559096080.4404204,537305504.0523525,679974177.0813406
49,308.1106,31.54,3069766.5388789857,2006480.1997776404,2154830.0877716634,2229062.386389439,3255394.8423667345
50,408.1721,16.69,161182433.47397265,164626300.3909644,161282509.59465176,165695041.35960233,187248550.11221427
51,302.2482,11.46,3021922512.0513883,2655270554.7814293,1890173938.8110561,2645997825.7705226,2646536416.168227
52,256.1812,4.3,327271.4102089715,128483.21310481627,0.0,8750.52683378694,0.0
53,279.186,5.24,1771920037.533086,1743842883.189199,953702361.2362857,1542340277.1717832,1503676826.9834542
54,245.2016,9.63,854815383.3888807,751368868.7550187,532961219.4754955,725378565.5700288,716716219.9379587
55,180.1022,5.88,785080669.6837293,840214817.2521418,887442765.2063038,838871037.774661,796601968.2174411
56,355.2022,4.54,343504.28583147796,551906.3952981695,376226.71040670434,308100.97386492323,120076.29871164908
57,337.2127,3.67,995785030.1906139,989718359.6541739,1038072996.9732873,1021445407.7410784,1195031105.1783752
58,310.1264,5.46,149555890.4106295,155336009.94199702,161240406.23146716,152188102.01389223,173269037.98940247
59,327.1377,4.98,222589636.11327505,236001723.91643,254581654.67564926,277610558.28752273,281969102.9823161
