,mz,rt,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB2.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SB1.mzML
1,371.1617,18.85,310755551.61961555,152761073.28513613,308999760.34871715,352898766.36021745,259777729.96928495
2,442.2233,17.66,603346904.4267685,614707726.0505939,645046793.7581701,672416868.8384839,493652833.92157507
3,292.1118,3.01,18395604.313596085,15743225.989439625,25136830.459629048,20557209.954588577,28856827.596298017
4,502.2395,22.78,126554812.80272637,93883117.84405015,139360597.13175845,170822308.7026312,144303184.68254134
5,342.1706,3.37,78516232.66899525,90606341.02769655,72768952.85191378,72937710.17275009,72421434.88412666
6,455.1791,17.2,1120272.2537335847,934614.7200449845,1039324.7430982286,1405770.9428907866,1316435.8571059648
7,408.1344,29.02,949847.7030729784,781465.3365786051,1005515.0539323076,849634.080756677,872224.5852698344
8,359.2447,0.58,20999975.27746856,19173369.630701594,18579668.728461493,20532282.42894762,21656219.690058738
9,527.3126,26.96,12424724.197966218,12814600.892703459,12786358.136402212,13591021.226430004,14234332.123614006
10,571.3155,5.54,28866343.955407076,28730111.849214785,26223881.831988476,26458562.76329481,23322258.53272252
11,360.9916,28.92,221979.53693512472,331394.75928595674,300006.2016628507,245324.79268605539,319153.8299189728
12,312.1234,23.36,360687440.2890786,364032386.39703274,322503680.6615779,234072267.93834513,208137245.8754221
13,205.0975,3.34,42978023.83803315,47480961.48727718,53474203.42379372,38125636.04460452,40233013.54131417
14,338.0867,3.32,13767473.309859386,16637784.747235905,14377969.541602176,12229380.602999166,14439497.347957017
15,444.0999,19.69,76680230.50438425,84052043.96560429,81867156.06510752,94086196.3760448,90673165.25768566
16,397.1778,4.69,129601674.97318675,115414137.25022025,122497042.9139881,100138042.49457309,92205714.64273906
17,454.2245,3.35,6121584.940556901,6712610.598491382,7353353.689986188,6473877.0625142455,5984351.745433353
18,442.2246,3.3,13886421.296464605,15985420.402079634,14870681.89248614,16469013.931130951,14346192.687190812
19,510.2657,3.69,15918135.811460122,16405264.19898931,7214377.609645591,9415734.419251982,8330577.184264825
20,310.1077,23.76,284972891.79749185,280464536.74273014,293155001.4169295,298611426.25444615,320098375.3522578
21,200.1107,3.34,88981836.50097926,104351896.48572975,114915915.07370833,89706439.9951397,93053477.02281077
22,309.1601,4.45,211111304.73120645,167834190.7962284,196679254.01881957,203758309.78578043,184202956.31928557
23,478.0977,22.77,19748396.357697994,2773497.492245789,61953962.59385227,80471771.87099801,70883129.14295624
24,329.1535,0.58,575544659.6965779,630472839.9775249,582573998.854922,591318488.3945358,701169988.1541126
25,374.2121,19.36,278997503.9167666,147093839.67397907,326928091.27690905,344796085.13033015,260261314.8115471
26,408.1383,26.89,176638873.71824542,180115639.83492932,177812626.4144378,175978137.74595982,175028586.7143482
27,313.1736,12.3,1313813879.7724588,1037118799.2788213,1381891024.526133,1641297541.855151,1618286668.4666116
28,453.2091,15.47,7096365.940809781,6895255.796021555,5455253.127570661,7450063.668469325,5557431.023718326
29,495.2201,25.94,4320344.524900767,4628183.641002679,4339187.773581168,4115928.1967647998,4080363.0969931106
30,376.1461,12.76,567258889.7931868,495310171.8783655,601586841.8455489,626418068.9212763,595893164.9461143
31,531.1575,12.31,183683509.85141787,188115348.9005453,171850003.1493945,158253898.56944692,143236323.83341178
32,407.2218,3.35,57394330.42707004,70835193.75127168,56398859.781886816,57437936.208159424,55988876.930595696
33,345.2429,24.87,2841033.998344225,2856976.581346304,2665995.7266158937,2630028.5284470934,2720592.627082534
34,268.1912,3.99,271514804.0262918,220803211.5563088,268380020.37695086,260144153.81486326,220065434.44150132
35,416.9913,24.69,349272855.4748556,354236744.49536645,357866872.171184,362462726.18995786,325575338.5388261
36,264.1751,12.14,218581307.96097973,144870445.30639768,267478732.0523857,299244037.56700015,221469015.94746462
37,320.141,3.46,722557470.726992,800870217.4238623,542262578.9148425,632642685.7021873,571065392.2133336
38,414.1554,5.18,131253370.81038588,106714174.25060908,157551445.07783645,168452291.09901294,164345561.08911717
