,mz,rt,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA1.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA2.mzML
1,371.1617,18.85,1315225379.848106,1151961595.0029063,930334947.9493464,1127337450.0760279,1157412736.9246738
2,442.2233,17.66,61111515.763131544,61456558.07214682,63995474.364430115,63598385.54982301,62613966.36796155
3,292.1118,3.01,60349799.796971306,65041974.20592182,83161891.89371352,65082911.62379029,75101167.5038621
4,502.2395,22.78,390005645.5248635,395857247.13356614,372861240.2769241,391344440.0218016,406582131.1197175
5,342.1706,3.37,128907372.3589845,100116109.31875715,122624202.91509475,124575851.55039437,136452412.24589938
6,455.1791,17.2,2298894.27125663,2203660.204050128,1494241.1524166234,2180907.706017738,2188431.9947589436
7,408.1344,29.02,2526113.7483796705,2498004.445710352,2535512.7389247008,2525263.6441451716,2711846.109868132
8,359.2447,0.58,27556016.660990264,22932842.575727947,20846415.886938166,26487816.132695053,24915672.3408199
9,527.3126,26.96,27775175.527228385,25742817.661847018,26906475.191767685,26213568.30834142,32846353.40232437
10,571.3155,5.54,44779898.17957129,45028101.08805798,38847796.356548585,46609299.47307946,44905355.971416675
11,360.9916,28.92,779832.3342427714,614790.2838755677,504989.33456077287,532299.3398737487,697709.6332368263
12,312.1234,23.36,702179285.2738277,804845552.2744629,890223989.4968307,815008703.0191513,848887536.7153519
13,205.0975,3.34,75615066.90797806,74032641.1243096,84813939.53532283,75993612.4007392,86706828.75658472
14,338.0867,3.32,27688946.86328792,21996344.904742904,26827707.677919023,28438103.0804036,29165947.89309315
15,444.0999,19.69,168961140.47213215,151971673.2591066,148632400.13819918,149158913.00537214,146841753.12186876
16,397.1778,4.69,166446031.33519435,230218847.47965765,137111057.7258902,267316348.96788394,272362067.85345465
17,454.2245,3.35,11602205.035574416,9672623.108517677,11182004.681585949,11113081.4633796,11693050.655678662
18,442.2246,3.3,30583725.189867266,26133279.924740553,30903592.9945438,33500201.464473013,28744809.668658633
19,510.2657,3.69,26352985.03510847,27278586.170847148,30622966.356306348,26388800.865126133,31213944.17718205
20,310.1077,23.76,571100563.3593272,607031952.2827417,627328489.298113,578131837.2687619,622388472.6869367
21,200.1107,3.34,171467801.1348905,166303523.1265372,184232072.8472836,167191391.76154807,192880370.76380166
22,309.1601,4.45,517282313.1405349,459116023.6265306,466472353.9467384,490971270.04126364,546634401.7611763
23,478.0977,22.77,201429472.52701563,204649317.31652462,172932509.892514,203760665.04267782,206037387.936643
24,329.1535,0.58,1373407159.2350626,1266310879.8245282,1311105298.715489,1403263561.3134248,1474656044.8368504
25,374.2121,19.36,623833109.8151103,562667883.8879712,360043019.16049916,569473181.2890998,538993173.0643365
26,408.1383,26.89,362713510.7718178,345451674.1572648,350935173.8797425,355721174.2973297,356871241.2445928
27,313.1736,12.3,501813027.80933684,557077571.7836499,411875512.3822598,687230119.235456,539553191.2815747
28,453.2091,15.47,284383836.5444666,279067976.3290103,283238105.0876403,339140028.07135856,284348162.69918436
29,495.2201,25.94,16994907.097044393,19740505.605229665,17354019.082131803,17688598.699324016,17183037.672887947
30,376.1461,12.76,993624280.472999,983684268.8520874,848838094.4543252,1114606597.842906,1016165806.6489996
31,531.1575,12.31,253247412.61246452,278098490.8477725,307692745.32448584,323646243.0020509,310650711.5405568
32,407.2218,3.35,447056210.2325034,305849231.1598085,407199146.31186616,420344734.2717665,458420940.7113439
33,345.2429,24.87,11570327.173822418,11427988.80745564,12301662.50516888,11264550.539192855,11826973.80163278
34,268.1912,3.99,241818030.9093356,200881166.50552988,197619236.66467428,214142110.74223298,264212062.9105739
35,416.9913,24.69,129726527.46581921,136095441.84479398,83636674.89934169,132699679.5803754,127900622.80192564
36,264.1751,12.14,1860704836.8038416,1917286553.0876596,1336058121.1198843,2169500004.2310333,1880734586.5746992
37,320.141,3.46,62727398.50826389,59846079.29250984,66948353.34985159,66130421.339810185,72029109.46294951
38,414.1554,5.18,345789488.60393655,353600336.29112893,368862140.7711842,359999066.34066284,378105900.69308585
39,270.1856,9.97,1679150708.7707639,1461500617.7258983,1066998096.7840475,1809180055.664275,1450860090.689462
40,261.1965,6.83,445948013.878854,445229150.6632673,380283051.8054534,460141790.912245,434716530.8744936
41,340.1549,4.97,1983820269.9261568,1884435539.1774657,1894255267.3062654,1937667784.4616747,2068718276.9172251
42,214.1091,5.47,761355295.9351765,747117857.9792519,747058132.1036751,732449317.3887223,859601695.948556
43,288.2324,9.91,741591055.6544011,655219988.1472881,438154667.60209346,775330278.8620036,630891217.7588845
44,315.2323,28.05,129561360.93656938,104758174.23814383,104789412.98677179,106349937.29040977,127255855.68437101
45,286.1917,4.29,201749181.10038212,209139129.9498834,184888255.65522587,194878967.26364273,232126945.52177817
46,277.0646,6.39,36977630.43956084,36972182.7593868,41752999.029414885,39388155.466612026,39705602.418375075
47,399.0764,11.63,67268276.10562731,62142669.42184987,41891207.97957635,67136987.91596408,58016414.36763409
48,317.1647,3.8,718187078.4325106,671922935.1842906,724658096.7675352,700083177.7555741,804181525.6156527
49,308.1106,31.52,2955448.4805008834,1883433.7448424425,2539341.9918213366,2520436.07439459,3507364.2771403594
50,408.1721,16.82,207964202.12121826,213023052.6486675,216168723.89312628,214736639.25092307,238546277.69375724
51,302.2482,11.27,3455680640.0644875,3160019369.275336,2563713866.2745786,3130616718.3035808,3271221302.2040234
52,256.1812,4.19,163394990.49767092,165598660.15584183,172597806.75122628,169470348.58147678,206282940.43267873
53,279.186,5.06,2474524565.8602037,2411405707.362892,2608422786.173812,2620218376.186033,2891667639.2941623
54,245.2016,9.47,952853273.5926087,783862218.3129848,506687601.88026035,812549390.3871683,779407319.6038774
55,180.1022,5.84,891064168.5620432,899707144.0529288,954671746.3153744,901171122.0506594,852519595.567973
56,355.2022,4.37,113414350.13654664,106737350.17339328,107335190.67056437,110022827.16359316,109631566.57805565
57,337.2127,3.83,1218205304.2259638,1023511087.7600902,1074833938.4470382,1069723184.6789455,1295228704.0888662
58,310.1264,5.58,177133853.42442784,185847024.2048813,193115791.0747948,183999123.60235295,204175492.4000997
59,327.1377,5.16,314512023.41868156,327885536.7057213,286187549.6549888,349710029.1695831,384575149.5946106
60,384.1448,4.19,1138252749.662453,1132364947.1976833,1194555535.2107322,1114846999.0754764,1278934129.919995
61,235.1808,3.63,480728176.3886582,478047987.7737533,446940769.2038107,443014964.45966846,505319503.12414455
62,195.092,3.56,426325073.8331195,388426035.73306346,410190913.76104456,371594627.82099193,435615626.0349417
63,438.1831,15.66,853792171.9701065,891750949.2014711,982318133.4945683,1016526332.928802,964499304.8933657
64,361.1206,31.69,39832918.62950408,30603061.551343262,32662733.163906224,30971663.962685667,39706038.466255054
65,242.1179,28.63,5945120.638999468,4789026.36047855,4758172.8365050955,4699398.620521786,5901621.293967331
66,430.2596,12.38,343310717.61200523,386441739.2227625,369637318.9715508,442017682.6309709,389776979.61673933
67,180.1749,5.27,751134164.8847687,796265139.7466902,797958180.8739496,785384836.3475693,915987961.8040793
68,484.1241,14.08,64347827.70901945,66766797.50591149,49358886.634718694,75363373.76988183,68443322.63132517
69,480.214,12.7,1297732362.692408,1368195624.371043,1091278215.2777061,1483099739.681505,1392401826.0380738
70,254.1543,5.34,610423923.6451648,676558021.762365,724806385.8917407,645214651.9267038,731983331.2017846
71,285.0211,4.62,60473082.800576374,63208236.40299257,69971098.41325887,61346369.08891759,65968779.68455128
