,mz,rt,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA5.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA4.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA1.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA3.mzML,/home/zzy/data/raw-mzml/good-mzml/QE_TEST/SA2.mzML
1,371.1617,18.85,1101046292.757876,963869161.2334208,779746539.2615889,942494119.7097844,968005482.9049981
2,442.2233,17.66,44782081.908884756,45033554.29333445,46966846.58038196,47180316.22666641,46797395.46311171
3,292.1118,3.01,54337052.20262662,55821938.37741502,70392385.02025606,55537464.53673902,63736895.847020775
4,502.2395,22.78,286984235.85097945,291378932.289297,274341657.9946435,288193985.3677109,299260640.16294765
5,342.1706,3.37,107796715.21594897,83727879.27244213,102464085.66691138,104147645.06658061,114154785.42689395
6,455.1791,17.2,1887755.4847686638,1843538.387083359,1261951.3363300648,1760416.587115482,1828235.528340381
7,408.1344,29.02,1996615.8117235727,1868666.7098203104,2055347.2331640564,1908629.4325872639,2262740.5327906567
8,359.2447,0.58,22933394.75533327,19055713.601505883,15358977.60326966,21984435.287239857,20560285.280470617
9,527.3126,26.96,20418720.83141211,18930277.084631167,19783046.16542871,19283239.867312547,24149723.15598081
10,571.3155,5.54,32941342.956693113,33140953.49387683,28577738.96176821,34291420.446937345,33047744.66427182
11,360.9916,28.92,658593.4097818292,520646.3092186682,421628.936143807,442726.3308655361,581721.018468823
12,312.1234,23.36,579424355.4111018,672725032.6019006,793725901.5815828,709872975.6364813,764632639.4879179
13,205.0975,3.34,56801416.72587609,46782147.05746175,56418127.16607053,57901761.03669466,60089424.25628196
14,338.0867,3.32,23112839.17186581,18335347.39087003,22349919.428068303,23653590.979532175,24262579.522787966
15,444.0999,19.69,130158260.61796269,114783884.21147716,113319525.53994073,106827470.11214504,103395345.94662082
16,397.1778,4.69,123789368.43630315,174280786.19841176,240111206.67067945,235033729.8781152,278499907.22522473
17,454.2245,3.35,9687179.139390923,8057632.291569088,8682271.206466679,9763309.024204586,9734482.910302632
18,442.2246,3.3,25276975.21061849,23331672.63570782,25927879.658851467,28750833.077901702,25408743.241206095
19,510.2657,3.69,19613206.71112079,19987036.942030348,22454123.93321858,19356185.63331161,22871966.505799968
20,310.1077,23.76,532979379.21116495,565335759.063057,563040786.9733361,533702713.8466085,543457464.998631
21,200.1107,3.34,153277272.20693114,150180657.3389926,167755310.50936645,151144867.31600153,174669633.56212968
22,309.1601,4.45,426677681.9377103,395852486.1987786,414931235.8344846,426806252.59896815,482202213.04199636
23,478.0977,22.77,148078131.39398813,150376151.60356227,127023565.83339235,149736246.3217651,151354340.6903851
24,329.1535,0.58,1237008511.8238864,1127197456.037746,1147138960.8064544,1221557395.7699308,1267445687.4604359
25,374.2121,19.36,522036669.23880243,470497566.46009946,301350583.07301253,475547301.8768556,450202660.8538762
26,408.1383,26.89,308125773.966189,297296231.86548793,267217612.61044762,279395629.22098607,269810927.7333217
27,313.1736,12.3,419551138.8144584,465986693.1470681,341628249.29007566,564545826.0420579,445881849.95816606
28,453.2091,15.47,209422001.68499023,205483969.6836989,208601437.45265713,249629310.30813494,209376305.49827874
29,495.2201,25.94,14525583.0019706,16585855.682585424,14419317.220726592,15067613.088125883,14588265.643487126
30,376.1461,12.76,832681054.792448,824299301.1697946,711255030.8638573,934134971.3147172,851611652.4270668
31,531.1575,12.31,226796090.83255145,268856779.42104954,301491275.0315923,298016159.5363171,279929037.9081026
