rt,rt_range:min,rt_range:max,mz,datafile:SA4.mzML:area,datafile:SB4.mzML:area,datafile:SB5.mzML:area,datafile:SB2.mzML:area,datafile:SA3.mzML:area,datafile:SA5.mzML:area,datafile:SB3.mzML:area,datafile:SA1.mzML:area,datafile:SA2.mzML:area,datafile:SB1.mzML:area,True RT,Compound Name,Fold change,Compound concentration ratio,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
18.8496,18.5009,19.1259,371.16224,5584000.0,3428000.0,2581000.0,3166000.0,5601000.0,7130000.0,2716000.0,5110000.0,5557000.0,2675000.0,18.8,1.0,0.47,1/2,5796400.0,13.336212917163717,2913200.0,12.552793551933894,0.5025878131253881,1.0693357726072088
17.8518,17.8188,18.4181,442.22296,5556.0,451300.0,15890.0,402100.0,3631.0,5522.0,426800.0,4856.0,3956.0,251000.0,17.84,2.0,21.23,16/1,4704.2,18.801156543975843,309418.0,58.72554760016282,65.77483950512308,3.0982025202601546
22.774,22.4962,23.1197,502.23951,2331000.0,2392000.0,2150000.0,2559000.0,2280000.0,2686000.0,2496000.0,2153000.0,2234000.0,2374000.0,22.82,4.0,1.06,1/1,2336800.0,8.810455906072127,2394200.0,6.52326557225371,1.0245635056487505,0.9665693449516514
3.3664,3.2577,3.4613,342.17061,1001000.0,1067000.0,1109000.0,1007000.0,1000000.0,973200.0,1156000.0,1066000.0,1095000.0,986200.0,3.23,5.0,1.07,1/1,1027040.0,4.975366290232172,1065040.0,6.60504236353011,1.0369995326374826,0.9691584417172734
17.1983,16.9972,17.3799,455.17882,11970.0,10690.0,9713.0,12810.0,11490.0,12290.0,10470.0,10980.0,11320.0,11430.0,17.06,6.0,0.93,1/1,11610.0,4.49089032428207,11022.6,10.63026066898728,0.949405684754522,1.0208663276930343
28.9935,28.722,29.1359,408.13499,13580.0,5699.0,3541.0,13190.0,14000.0,14440.0,11140.0,14440.0,13720.0,15070.0,28.84,7.0,0.84,1/1,14036.0,2.8398228938964065,9728.0,50.62848095693463,0.6930749501282417,0.825089226343145
0.5792,0.5598,0.6342,359.24504,250800.0,238000.0,223800.0,236200.0,255700.0,252600.0,223100.0,218200.0,254400.0,239300.0,0.73,8.0,0.99,1/1,246340.0,6.429783536542503,232080.0,3.429185894457762,0.9421125274011529,0.9516288155567202
26.9614,26.7798,27.2477,527.31342,171500.0,149600.0,149900.0,157200.0,169000.0,175400.0,151100.0,177400.0,227700.0,161400.0,27.0,9.0,0.85,1/1,184200.0,13.320853886063652,153840.0,3.400263581679385,0.8351791530944626,0.9825637095228972
5.5785,5.5273,5.9963,571.3162,137200.0,333300.0,359400.0,5890.0,127800.0,133000.0,286200.0,66770.0,90900.0,204900.0,5.62,10.0,1.01,1/1,111134.0,27.781159900117487,237938.0,59.84859054603532,2.1410009538035166,2.1198029245579373
28.924,28.8621,28.9948,360.99117,2141.0,2025.0,2811.0,1414.0,1929.0,3470.0,816.4,3103.0,4462.0,3543.0,28.73,11.0,0.95,1/1,3021.0,34.12707394110847,2121.88,51.135671674753034,0.7023766964581265,0.7393438910085542
23.3587,23.2505,23.6694,312.12368,4883000.0,3849000.0,4062000.0,2625000.0,4753000.0,4321000.0,3216000.0,5284000.0,4971000.0,2656000.0,23.55,12.0,0.67,1/1,4842400.0,7.250260180978886,3281600.0,20.200647324043373,0.6776804890137123,1.0114634164383765
