Image_Path,Compound Name,M/Z,Retention Time,rt_min,rt_max,intensity_max,Area,Score
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,1,313.1734,12.634,12.321487350463867,12.946422882080078,172491.0,4314.357,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,2,453.2079,15.821,15.44980185508728,16.192055969238282,181627.0,5722.875,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,3,495.2184,26.098,25.847296295166014,26.348304138183593,19328.0,376.104,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,4,376.1464,13.14,12.824108982086182,13.456878852844238,361207.0,11650.936,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,5,531.1562,12.45,12.161877746582032,12.738706703186036,223129.0,5679.841,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,6,407.2227,3.331,3.0913019752502446,3.571318969726563,1048316.0,10444.397,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,7,278.1905,12.701,12.381470737457276,13.020644721984864,514289.0,15343.354,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,8,345.2421,25.032,24.779141921997073,25.283946914672853,8753.0,222.288,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,9,268.1907,3.991,3.73725736618042,4.243794040679932,283967.0,4965.185,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,10,416.9905,24.845,24.58185335159302,25.107256088256836,107250.0,1811.932,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,11,264.1749,12.464,12.164910545349121,12.763340606689454,754783.0,20011.815,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,12,320.1409,3.463,3.2195893859863283,3.705932388305664,154295.0,1509.19,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,13,414.1546,5.243,4.938497123718261,5.546952972412109,249073.0,6505.052,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,14,270.1851,10.291,10.010974006652832,10.570487289428712,58051.0,1385.104,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,15,261.1963,7.035,6.767977142333985,7.303010177612304,246691.0,5224.844,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,16,340.1543,5.039,4.697105712890625,5.380293579101563,1738135.0,50031.302,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,17,214.1088,5.606,5.3524397850036625,5.859967613220215,280898.0,5548.117,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,18,361.1992,8.619,8.393124866485595,8.8447359085083,8655.0,157.465,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,19,288.2323,10.189,9.910592193603515,10.468204040527343,293735.0,6774.957,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,20,315.2316,28.165,27.891224193573,28.43786678314209,73116.0,1579.647,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,21,286.1914,4.241,3.9916765594482424,4.490112628936767,66476.0,1061.866,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,22,249.0903,5.099,4.841707324981689,5.3567352294921875,212569.0,3563.622,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,23,277.0641,6.443,6.119557228088379,6.765996112823487,10683.0,322.232,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,24,399.0755,12.131,11.825320472717284,12.436999359130859,20818.0,624.729,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,25,371.1612,19.239,18.898694152832032,19.57934009552002,356005.0,11314.479,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,26,317.1642,3.804,3.552807579040527,4.0552392578125,663359.0,10697.516,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,27,408.1716,16.863,16.521518115997313,17.204327087402344,156229.0,4657.035,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,28,302.248,11.547,11.245215511322021,11.848316955566407,1274623.0,31123.802,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,29,256.1808,4.131,3.9253511810302735,4.33630823135376,40626.0,545.242,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,30,279.1856,5.017,4.761427707672119,5.272972984313965,875843.0,14412.254,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,31,245.2014,9.748,9.46511016845703,10.031584701538085,345916.0,8480.174,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,32,180.1017,5.948,5.653333549499512,6.243361930847168,351229.0,9168.0,1.0
/home/zzy/peak-output/tof/20170326-960MIX_SampleA_1,33,355.2015,4.403,4.130516567230225,4.6749073410034185,103217.0,2352.769,1.0
