,Compound Name,/home/zzy/peakformer/resources/paper/tof/20170326-960MIX_SampleB_1_Area,/home/zzy/peakformer/resources/paper/tof/20170326-960MIX_SampleB_2_Area,/home/zzy/peakformer/resources/paper/tof/20170326-960MIX_SampleB_3_Area,/home/zzy/peakformer/resources/paper/tof/20170326-960MIX_SampleB_4_Area,/home/zzy/peakformer/resources/paper/tof/SampleA_3-20170326-960MIX_SampleA_4_Area,/home/zzy/peakformer/resources/paper/tof/SampleA_4-20170326-960MIX_SampleA_5_Area,Compound formula,mz,RT,Fold change,Compound concentration ratio,p-value,AVG-A,CV-A,AVG-B,CV-B,fc,ratio
0,1,99753.324,96685.073,98244.653,96375.813,22636.372,22773.68,C19H24N2S,313.1734,12.32,4.44,4/1,0.0,22785.9035,1.1413164612124016,97764.71575,1.5933472955899162,4.290578855036404,0.9663465889721631
1,2,119.226,830.044,1378.694,1435.079,29514.883,27413.869,C24H30F2O6,453.2079,15.8,0.05,1/16,0.0,29323.821750000003,4.527878084146745,940.7607499999999,65.0445169800913,0.0320817919990255,0.64163583998051
2,3,973.089,1024.734,1145.464,1131.251,1665.179,1911.134,C26H32F2O7,495.2184,26.07,0.54,1/2,0.001,1820.56,7.403118958257725,1068.6345,7.8068043042539985,0.5869812035857098,1.0870022288624255
3,4,80432.619,92163.222,89535.43,86994.946,64327.552,71636.486,C21H23ClFNO2,376.1464,12.96,1.35,1/1,0.014,66999.80025,6.521568221452203,87281.55425,5.762882643096696,1.3027136487619604,0.9649730731570076
4,5,29254.601,28890.775,32617.692,33786.138,27075.496,25238.41,C26H28Cl2N4O4,531.1562,12.46,1.17,1/1,0.284,27647.18125,7.794981230824165,31137.3015,7.822764725098407,1.1262378330159788,0.9625964384751956
5,6,11767.983,13236.545,14615.648,13537.729,54965.425,51862.074,C18H34N2O6S,407.2227,3.3,0.28,1/4,0.0,53608.299250000004,5.044802280865328,13289.47625,8.837556983721393,0.24789960576859746,0.885355734887848
6,7,40924.475,41960.939,40914.548,41133.929,81810.263,75148.743,C20H23N,278.1905,12.39,0.54,1/2,0.0,79556.68475,4.0587976303018225,41233.47275,1.2014879731319377,0.5182904853259361,0.9597971950480298
7,8,535.796,554.447,600.251,609.897,1071.771,1109.789,C22H32O3,345.2421,25.02,0.54,1/2,0.0,1110.4547499999999,3.2759665695486038,575.09775,6.200561495624289,0.5178939078787317,0.9590627923680216
8,9,59345.745,58116.302,62034.387,63820.507,27178.795,26462.223,C15H25NO3,268.1907,3.94,2.06,2/1,0.001,26426.70525,2.2694144010325745,60829.23525,4.240494508761728,2.301809274918976,1.1173831431645513
9,10,46760.124,42803.453,42866.585,42215.469,9988.587,10184.699,C18H14Cl4N2O,416.9905,24.58,3.91,4/1,0.0,9860.477,3.3746612094619524,43661.40775,4.778849820608946,4.427920449487383,1.132460473014676
10,11,25957.71,26586.056,26985.038,23918.602,100676.278,99269.812,C19H21N,264.1749,12.18,0.27,1/4,0.0,104013.97725,4.642638886885454,25861.8515,5.269422268341817,0.24863823289672352,0.9208823440619389
11,12,125238.405,141408.383,151304.967,132717.162,8284.671,8069.246,C16H18FN3O3,320.1409,3.42,16.15,16/1,0.0,8331.9315,6.626223264744595,137667.22925,8.164078709675486,16.522846983319532,1.0230865005151415
12,13,31728.226,31580.746,35422.858,37609.614,32538.926,32703.088,C22H23NO7,414.1546,5.18,0.99,1/1,0.936,33321.33975,3.527338896364249,34085.361,8.64328728329182,1.022928887485684,1.0332615025107919
13,14,6549.708,6588.352,6441.364,7939.642,7122.335,7263.673,C18H23NO,270.1851,10.0,0.92,1/1,0.3,7347.49475,2.676047468297775,6879.7665,10.310196974248381,0.9363418054841074,1.0177628320479428
14,15,375508.291,376680.092,371517.673,385579.684,28497.636,27803.89,C16H24N2O,261.1963,6.83,12.67,16/1,0.0,27750.87375,2.3052757540601254,377321.43500000006,1.5722480783181132,13.596740715236042,1.07314449212597
15,16,21782.864,21550.64,20355.197,20730.512,294747.644,299073.267,C20H21NO4,340.1543,4.95,0.09,1/16,0.0,287506.75625,3.9452739907867787,21104.80325,3.1909041832900082,0.07340628625662081,0.8156254028513423
16,17,1951.458,2216.194,2228.274,2419.302,29074.857,30766.621,C11H11N5,214.1088,5.53,0.09,1/16,0.0,29286.84175,4.0774760846123685,2203.807,8.723147176486131,0.07524904934483076,0.8361005482758974
17,18,18163.876,17843.233,20119.425,23038.79,764.059,865.466,C21H28O5,361.1992,8.59,18.5,16/1,0.0,843.6397499999999,6.864440648339151,19791.331,12.062255769762114,23.459457665431245,1.2680787927260133
18,19,133562.966,137824.305,135215.59,148846.578,34965.557,33134.142,C19H29NO,288.2323,9.9,4.07,4/1,0.0,34998.16925,4.13445202153499,138862.35974999997,4.957013819057881,3.96770353209261,0.9748657327008869
