rt,rt_range:min,rt_range:max,mz,datafile:20170326-960MIX_SampleB_3.mzML:area,datafile:20170326-960MIX_SampleB_2.mzML:area,datafile:20170326-960MIX_SampleB_1.mzML:area,datafile:20170326-960MIX_SampleB_4.mzML:area,datafile:20170326-960MIX_SampleA_2.mzML:area,datafile:SampleA_4-20170326-960MIX_SampleA_5.mzML:area,datafile:20170326-960MIX_SampleA_1.mzML:area,datafile:SampleA_3-20170326-960MIX_SampleA_4.mzML:area,True RT,Compound Name,Fold change,Compound concentration ratio,p-value,AVG-A,CV-A,AVG-B,CV-B,fc,ratio,true p-value
15.8043,15.451,16.1418,453.20684,1713,813.8,323.8,1667,30570,28090,31490,30350,15.98,2,0.05,1/16,0,30125,4.79247663324574,1129.4,60.0132724115968,0.0374904564315353,0.749809128630705,2.88668964231866E-08
26.0622,25.9196,26.2704,495.21786,1176,1144,1040,1236,2111,2029,1993,2118,26.16,3,0.54,1/2,0.001,2062.75,2.98644503471673,1149,7.14229894485794,0.557023391104109,1.03152479834094,2.01383487368891E-06
12.4558,12.1792,12.8177,531.15588,32960,30400,30360,33920,28750,25910,31560,28000,12.32,5,1.17,1/1,0.284,28555,8.18105669703006,31910,5.67130844967236,1.11749255822098,0.955121844633314,0.0636087797131169
3.2928,2.6603,3.6266,407.22325,13300,12930,12730,11350,59530,55220,62350,61550,3.16,6,0.28,1/4,0,59662.5,5.34765055515536,12577.5,6.77176585430827,0.210810810810811,0.752895752895753,1.23118168274172E-07
12.3795,11.8559,12.828,278.19067,41380,42490,41530,41280,65000,74410,79610,79640,12.21,7,0.54,1/2,0,74665,9.23645297039713,41670,1.33486287354676,0.558092814571754,1.03350521216991,7.58128538649023E-05
25.0132,24.8516,25.1842,345.24181,629.9,617.2,557.6,627.3,1201,1188,1195,1147,25.17,8,0.54,1/2,0,1182.75,2.06453019608113,608,5.59927623294936,0.514056224899598,0.951955972036293,1.54949841830571E-07
3.9813,3.7287,4.2821,268.19108,61560,59340,60230,86.03,26750,28270,26930,26940,3.98,9,2.06,2/1,0.001,27222.5,2.58524974533307,45304.0075,66.5705292764115,1.66421186518505,0.80786983746847,0.275818979763729
24.5813,24.2056,25.1399,416.99025,44730,44150,47110,42320,9806,10690,10520,10260,24.66,10,3.91,4/1,0,10319,3.7310530016186,44577.5,4.43313573315327,4.3199437930032,1.10484495984737,4.28667160212399E-08
12.1753,11.6546,12.6259,264.17511,28070,27940,27030,25340,88620,99050,108700,98600,11.99,11,0.27,1/4,0,98742.5,8.30466849969825,27095,4.64351368228957,0.274400587386384,1.01629847180142,2.41260114381312E-06
3.5462,3.4809,4.0646,320.14011,9160,141.4,9883,8684,632.6,235.9,754.2,502.4,3.61,12,16.15,16/1,0,531.275,41.8131753980635,6967.1,65.695744361337,13.1139240506329,0.812007681153741,0.0308013421470052
